smiles,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FractionCSP3,HallKierAlpha,HeavyAtomCount,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,MolMR,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"C:C:C",41.07299999999999,36.033,41.03912516,17,0,3.25,1.5,3.25,1.5,2.449489742783178,7.1887218755408675,2.7071067811865475,1.9915638315627207,1.9915638315627207,1.4142135623730951,0.816496580927726,0.816496580927726,0.28867513459481287,0.28867513459481287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,0.0,0.0,13.49301984491685,0.0,0.0,-0.39,3,2.7548875021634682,2.6100000000000003,1.6099999999999994,1.6100000000000008,20.76022614769397,0.85887,15.014000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:CCl",62.498999999999995,59.475,61.992327775999996,18,0,4.762345679012345,1.2222222222222223,4.762345679012345,1.2222222222222223,1.962868403724734,5.808922546843245,2.7071067811865475,1.6624215233854005,2.4183504694038547,1.4142135623730951,0.6264661806998554,1.0629019611718402,0.15430334996209188,0.46291004988627577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.702776167738141,0.0,0.0,6.746509922458425,11.600939890232516,0.0,0.02999999999999997,3,2.7548875021634682,3.0300000000000002,2.0299999999999994,2.0299999999999776,25.053004814643437,1.22108,15.51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34744981269094,5.702776167738141,0.0,0.0,0,0.0,11.600939890232516,0.0,0.0,0.0,0.0,0.0,12.449286090196566,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,12.449286090196566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.762345679012345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348765432098766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:CN",43.068999999999996,38.028999999999996,43.042199159999996,18,0,4.611111111111111,1.25,4.611111111111111,1.25,1.962868403724734,5.808922546843245,2.7071067811865475,1.861807319565799,1.861807319565799,1.4142135623730951,0.7415816237971964,0.7415816237971964,0.23570226039551587,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367529128680377,0.0,0.0,12.48017739962061,0.0,0.0,-0.46,3,2.7548875021634682,2.54,1.54,1.5399999999999996,20.089629284774475,-0.05901999999999996,13.8444,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746509922458425,6.367529128680377,0.0,0.0,0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,13.114039051138802,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,13.114039051138802,0.0,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:N:C",42.061,38.028999999999996,42.034374127999996,17,0,3.0,3.0,3.0,3.0,2.449489742783178,9.943609377704336,2.7071067811865475,1.8614271578730528,1.8614271578730528,1.4142135623730951,0.6324555320336758,0.6324555320336758,0.2236067977499789,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.73795137216699,0.0,0.0,-0.46,3,2.7548875021634682,2.54,1.54,1.5399999999999996,19.97987412864048,0.1739799999999999,12.848,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,13.75397285121978,0.0,0.0,0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,13.75397285121978,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,0.0,13.75397285121978,0.0,0.0,0.0,0.0,0.0,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:N:N",43.049,40.025,43.029623095999995,17,0,5.722222222222222,2.5,5.722222222222222,2.5,2.449489742783178,9.943609377704336,2.7071067811865475,1.6543203766865053,1.6543203766865053,1.4142135623730951,0.5398345637668168,0.5398345637668168,0.15811388300841894,0.15811388300841894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.975668233910927,5.681965722986453,0.0,-0.53,3,2.7548875021634682,2.4699999999999993,1.4699999999999982,1.4700000000000009,18.940640235528846,-0.4197100000000001,10.5877,1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.681965722986453,5.098681808301038,0.0,0.0,0.0,6.87698642560989,0.0,0,0.0,0.0,0.0,10.78064753128749,0.0,0.0,0.0,6.87698642560989,0.0,0.0,10.78064753128749,0.0,0.0,0.0,0.0,0.0,6.87698642560989,0.0,0.0,0.0,0.0,0.0,36.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C=NC",43.069,38.028999999999996,43.042199159999996,18,0,3.25,1.6388888888888888,3.25,1.6388888888888888,2.1874960973678963,10.264662506490405,2.7071067811865475,2.1543203766865053,2.1543203766865053,1.4142135623730951,0.7634413615167959,0.7634413615167959,0.3162277660168379,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04767198267719,0.0,11.709920888935603,0.0,0.5,-0.33,3,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.999515628086282,0.3168,15.473,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.992404732635669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.717516156299933,7.04767198267719,0.0,0,0.0,6.717516156299933,0.0,0.0,4.992404732635669,0.0,7.04767198267719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.765188138977123,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC:C",42.080999999999996,36.033,42.046950192,18,0,3.361111111111111,1.75,3.361111111111111,1.75,1.962868403724734,3.0540350446797766,2.7071067811865475,2.284457050376173,2.284457050376173,1.4142135623730951,0.9855985596534889,0.9855985596534889,0.408248290463863,0.408248290463863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2435943456938094,6.923737199690624,6.746509922458425,0.0,0.3333333333333333,-0.26,3,2.7548875021634682,2.7400000000000007,1.7400000000000013,1.7399999999999973,21.114680702158367,1.04468,15.331000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746509922458425,6.2435943456938094,6.923737199690624,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.990104268152233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.990104268152233,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC:N",43.069,38.028999999999996,43.042199159999996,18,0,6.083333333333333,1.25,6.083333333333333,1.25,1.962868403724734,5.808922546843245,2.7071067811865475,2.0773502691896257,2.0773502691896257,1.4142135623730951,0.8660254037844388,0.8660254037844388,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3740708488452755,6.923737199690624,0.0,0.0,5.567262435632624,0.5,-0.33,3,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,20.106993240642012,0.45098999999999995,13.070700000000002,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.567262435632624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.297808048535899,0.0,0.0,0,0.0,0.0,0.0,5.567262435632624,0.0,6.923737199690624,0.0,6.3740708488452755,0.0,0.0,5.567262435632624,0.0,0.0,0.0,0.0,0.0,6.3740708488452755,6.923737199690624,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC=N",43.069,38.028999999999996,43.042199159999996,18,0,6.083333333333333,1.25,6.083333333333333,1.25,2.1874960973678963,10.264662506490405,2.7071067811865475,2.0773502691896257,2.0773502691896257,1.4142135623730951,0.8660254037844388,0.8660254037844388,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2146005795353165,6.923737199690624,0.0,0.0,5.409283605791522,0.5,-0.33,3,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.789544141490953,0.65587,14.4577,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.409283605791522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13833777922594,0.0,0.0,0,0.0,6.2146005795353165,5.409283605791522,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2146005795353165,0.0,5.409283605791522,6.923737199690624,0.0,0.0,0.0,0.0,23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCC",44.096999999999994,36.033,44.062600255999996,20,0,2.125,1.25,2.125,1.25,1.6329931618554523,0.0,2.7071067811865475,2.7071067811865475,2.7071067811865475,1.4142135623730951,1.414213562373095,1.414213562373095,0.7071067811865475,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,13.847474399381248,0.0,1.0,0.0,3,2.7548875021634682,3.0,2.0,0.0,21.469135256622767,1.4163,15.965000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCN",45.084999999999994,38.028999999999996,45.057849223999995,20,0,4.847222222222222,0.75,4.847222222222222,0.75,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.284457050376173,2.284457050376173,1.4142135623730951,1.1153550716504106,1.1153550716504106,0.408248290463863,0.408248290463863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912575,0.0,0.0,6.923737199690624,0.0,5.733667477162185,1.0,-0.04,3,2.7548875021634682,2.9600000000000004,1.96,1.9600000000000033,20.444083839238875,-0.03499999999999981,14.728400000000002,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.544756405912575,0.0,0.0,0,0.0,0.0,0.0,0.0,5.733667477162185,6.923737199690624,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.544756405912575,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN:C",43.068999999999996,38.028999999999996,43.042199159999996,18,0,3.25,1.6388888888888888,3.25,1.6388888888888888,1.962868403724734,5.808922546843245,2.7071067811865475,2.1543203766865053,2.1543203766865053,1.4142135623730951,0.7634413615167959,0.7634413615167959,0.3162277660168379,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04767198267719,0.0,12.02736998808666,0.0,0.5,-0.33,3,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,20.316964727237337,0.012189999999999923,13.415000000000003,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5.15038356247677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87698642560989,7.04767198267719,0.0,0,0.0,0.0,0.0,5.15038356247677,0.0,0.0,7.04767198267719,6.87698642560989,0.0,0.0,5.15038356247677,0.0,0.0,0.0,7.04767198267719,0.0,6.87698642560989,0.0,0.0,0.0,0.0,0.0,14.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNC",45.085,38.028999999999996,45.057849223999995,20,0,2.75,1.875,2.75,1.875,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.5,2.5,1.4142135623730951,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09534396535438,5.316788604006331,0.0,1.0,-0.04,3,2.7548875021634682,2.9600000000000004,1.96,1.9600000000000033,20.6540553258342,-0.1644000000000001,14.983700000000002,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09534396535438,0.0,0.0,0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,14.09534396535438,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,14.09534396535438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N:C:N",43.049,40.025,43.029623095999995,17,0,5.75,0.5,5.75,0.5,2.449489742783178,9.943609377704336,2.7071067811865475,1.5773502691896257,1.5773502691896257,1.4142135623730951,0.5773502691896258,0.5773502691896258,0.14433756729740646,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3273200747645415,0.0,0.0,0.0,0.0,0.0,11.134524871265247,0.0,-0.53,3,2.7548875021634682,2.4699999999999993,1.4699999999999982,1.4700000000000009,18.744851224661257,-0.32851,10.4934,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.134524871265247,0.0,0.0,0.0,0.0,0.0,0.0,6.3273200747645415,0,0.0,0.0,0.0,11.134524871265247,0.0,0.0,0.0,6.3273200747645415,0.0,0.0,11.134524871265247,0.0,0.0,0.0,0.0,0.0,6.3273200747645415,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:C:C",41.07299999999999,36.033,41.03912516,17,0,3.25,1.5,3.25,1.5,2.449489742783178,7.1887218755408675,2.7071067811865475,1.9915638315627207,1.9915638315627207,1.4142135623730951,0.816496580927726,0.816496580927726,0.28867513459481287,0.28867513459481287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,0.0,0.0,13.49301984491685,0.0,0.0,-0.39,3,2.7548875021634682,2.6100000000000003,1.6099999999999994,1.6100000000000008,20.76022614769397,0.85887,15.014000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55938691337846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:CCl",62.498999999999995,59.475,61.992327775999996,18,0,4.762345679012345,1.2222222222222223,4.762345679012345,1.2222222222222223,1.962868403724734,5.808922546843245,2.7071067811865475,1.6624215233854005,2.4183504694038547,1.4142135623730951,0.6264661806998554,1.0629019611718402,0.15430334996209188,0.46291004988627577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.702776167738141,0.0,0.0,6.746509922458425,11.600939890232516,0.0,0.02999999999999997,3,2.7548875021634682,3.0300000000000002,2.0299999999999994,2.0299999999999776,25.053004814643437,1.22108,15.51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34744981269094,5.702776167738141,0.0,0.0,0,0.0,11.600939890232516,0.0,0.0,0.0,0.0,0.0,12.449286090196566,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,12.449286090196566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.762345679012345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348765432098766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C:CN",43.068999999999996,38.028999999999996,43.042199159999996,18,0,4.611111111111111,1.25,4.611111111111111,1.25,1.962868403724734,5.808922546843245,2.7071067811865475,1.861807319565799,1.861807319565799,1.4142135623730951,0.7415816237971964,0.7415816237971964,0.23570226039551587,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.367529128680377,0.0,0.0,12.48017739962061,0.0,0.0,-0.46,3,2.7548875021634682,2.54,1.54,1.5399999999999996,20.089629284774475,-0.05901999999999996,13.8444,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.746509922458425,6.367529128680377,0.0,0.0,0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,13.114039051138802,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,0.0,13.114039051138802,0.0,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
